date,closed,open
2013-04,768,100
2013-05,3701,630
2013-06,4563,872
2013-07,7364,1474
2013-08,12574,2447
2013-09,13062,2627
2013-10,12802,3220
2013-11,10872,3671
2013-12,9190,3582
2014-01,11535,5182
2014-02,11034,4460
2014-03,11029,5971
2014-04,10881,6105
2014-05,9405,7538
2014-06,6896,7992
2014-07,377,887
